frc1678 ,  84.4459589684485
frc973 ,  113.505508404267
frc4 ,  38.72656635276702
frc6560 ,  71.36866725027969
frc115 ,  64.34543421784821
frc114 ,  26.55883768411729
frc5089 ,  23.029513565805924
frc359 ,  33.54039044630938
frc1388 ,  36.63162889320403
frc3309 ,  29.424585273230424
frc2102 ,  62.48879804616158
frc4481 ,  63.31814766502466
frc6814 ,  46.20961449357227
frc299 ,  42.132129043953384
frc867 ,  44.2631266468589
frc1159 ,  37.75630196039299
frc589 ,  41.83314268084325
frc2465 ,  28.242385146690356
frc1138 ,  42.44263845786036
frc2659 ,  63.44898021042748
frc4414 ,  72.64889523392264
frc3863 ,  14.575881093860211
frc2584 ,  53.956318671733385
frc2429 ,  41.96451729866872
frc5818 ,  36.39599600428509
frc1661 ,  -3.002673250915741
frc7415 ,  23.583239273281073
frc5285 ,  4.265300055622569
frc6934 ,  31.421364942807074
frc3501 ,  16.13689069464204
frc3257 ,  26.437814381206408
frc580 ,  7.594632919327308
frc5012 ,  -0.3609285192653955
frc3328 ,  16.660605637176367
frc696 ,  28.429854523222733
frc5869 ,  14.393272492115178
frc207 ,  20.931772969559802
frc8060 ,  10.177453299975394
frc691 ,  13.250652072153681
frc8129 ,  2.4301895472510915
frc4711 ,  5.844528311072421
frc7137 ,  10.956214866181321
